"roi","class_name","worms","username"
"D20180404T020721_IFCB115_00001","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00003","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00004","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00005","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00006","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00007","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00008","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00009","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00010","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00011","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00012","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00013","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00015","other",NULL,"rshipe"
"D20180404T020721_IFCB115_00016","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00017","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00018","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00019","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00020","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00022","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00023","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00024","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00026","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00027","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00028","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00029","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00031","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00032","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00034","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00036","detritus",NULL,"rshipe"
"D20180404T020721_IFCB115_00037","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00038","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00039","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00040","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00041","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00043","detritus",NULL,"rshipe"
"D20180404T020721_IFCB115_00046","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00047","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00048","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00051","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00052","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00053","detritus",NULL,"rshipe"
"D20180404T020721_IFCB115_00054","Thalassiosira",148912,"rshipe"
"D20180404T020721_IFCB115_00055","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00056","other",NULL,"rshipe"
"D20180404T020721_IFCB115_00057","detritus",NULL,"rshipe"
"D20180404T020721_IFCB115_00058","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00059","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00060","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00061","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00062","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00063","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00064","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00065","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00066","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00067","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00068","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00069","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00070","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00071","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00072","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00074","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00075","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00076","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00077","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00078","WHAT?",NULL,"rshipe"
"D20180404T020721_IFCB115_00079","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00080","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00081","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00082","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00084","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00085","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00086","other",NULL,"rshipe"
"D20180404T020721_IFCB115_00087","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00088","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00089","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00090","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00091","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00092","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00093","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00094","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00095","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00096","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00098","detritus",NULL,"rshipe"
"D20180404T020721_IFCB115_00100","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00101","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00102","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00103","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00104","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00105","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00106","bead",NULL,"rshipe"
"D20180404T020721_IFCB115_00107","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00001","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00002","mix",NULL,"hsosik"
"D20180404T203345_IFCB115_00006","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00007","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00008","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00009","detritus",NULL,"rshipe"
"D20180404T203345_IFCB115_00010","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00011","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00012","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00013","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00014","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00015","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00017","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00018","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00019","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00021","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00022","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00023","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00024","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00025","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00026","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00027","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00028","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00029","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00030","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00031","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00033","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00034","bead",NULL,"rshipe"
