eventID,occurrenceID,associatedMedia,basisOfRecord,identificationVerificationStatus,identifiedBy,verbatimIdentification,scientificName,scientificNameID,kingdom,occurrenceStatus,institutionCode
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00003_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00003.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00013_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00013.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00016_Euglena,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00016.png,MachineObservation,ValidatedByHuman,hsosik,Euglena,Euglena,urn:lsid:marinespecies.org:taxname:8012,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00019_Chaetoceros,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00019.png,MachineObservation,ValidatedByHuman,kkenitz,Chaetoceros,Chaetoceros,urn:lsid:marinespecies.org:taxname:148985,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00021_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00021.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00031_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00031.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00037_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00037.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00049_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00049.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00070_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00070.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00075_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00075.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
