class_vNone_SIO_Delmar_mooring_20220225	class vNone no underscores	second_attempt_match	AphiaID	Match type	LSID	ScientificName	Taxon status	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Acanthoica_quattrospina	Acanthoica quattrospina		235802	exact	urn:lsid:marinespecies.org:taxname:235802	Acanthoica quattrospina	accepted	235802	Acanthoica quattrospina	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Rhabdosphaeraceae	Acanthoica		quattrospina	
Akashiwo	Akashiwo		231787	exact	urn:lsid:marinespecies.org:taxname:231787	Akashiwo	accepted	231787	Akashiwo	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo			
Alexandrium_catenella	Alexandrium catenella		231873	exact	urn:lsid:marinespecies.org:taxname:231873	Alexandrium catenella	accepted	231873	Alexandrium catenella	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium		catenella	
Amphidinium	Amphidinium		109473	exact	urn:lsid:marinespecies.org:taxname:109473	Amphidinium	accepted	109473	Amphidinium	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium			
Amylax	Amylax		109518	exact	urn:lsid:marinespecies.org:taxname:109518	Amylax	accepted	109518	Amylax	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax			
Apedinella	Apedinella		248096	exact	urn:lsid:marinespecies.org:taxname:248096	Apedinella	accepted	248096	Apedinella	Chromista	Ochrophyta	Dictyochophyceae	Pedinellales	Pedinellaceae	Apedinella			
Asterionellopsis_glacialis	Asterionellopsis glacialis		149139	exact	urn:lsid:marinespecies.org:taxname:149139	Asterionellopsis glacialis	alternate representation	148955	Asterionella glacialis	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis		glacialis	
Bacillaria	Bacillaria		149148	exact	urn:lsid:marinespecies.org:taxname:149148	Bacillaria	accepted	149148	Bacillaria	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Bacillaria			
Bacillariophyceae	Bacillariophyceae		148899	exact	urn:lsid:marinespecies.org:taxname:148899	Bacillariophyceae	accepted	148899	Bacillariophyceae	Chromista	Ochrophyta	Bacillariophyceae						
Bacteriastrum	Bacteriastrum		149118	exact	urn:lsid:marinespecies.org:taxname:149118	Bacteriastrum	accepted	149118	Bacteriastrum	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Bacteriastrum			
Balanion	Balanion		292899	exact	urn:lsid:marinespecies.org:taxname:292899	Balanion	accepted	292899	Balanion	Chromista	Ciliophora	Prostomatea	Prorodontida	Balanionidae	Balanion			
Biddulphia	Biddulphia		148967	exact	urn:lsid:marinespecies.org:taxname:148967	Biddulphia	accepted	148967	Biddulphia	Chromista	Ochrophyta	Bacillariophyceae	Biddulphiales	Biddulphiaceae	Biddulphia			
Calciopappus	Calciopappus		235858	exact	urn:lsid:marinespecies.org:taxname:235858	Calciopappus	accepted	235858	Calciopappus	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Syracosphaeraceae	Calciopappus			
Calciosolenia_brasiliensis	Calciosolenia brasiliensis		555889	exact	urn:lsid:marinespecies.org:taxname:555889	Calciosolenia brasiliensis	accepted	555889	Calciosolenia brasiliensis	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Calciosoleniaceae	Calciosolenia		brasiliensis	
Cerataulina_pelagica	Cerataulina pelagica		149619	exact	urn:lsid:marinespecies.org:taxname:149619	Cerataulina pelagica	alternate representation	961694	Cerataulina bergonii	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Cerataulina		pelagica	
Ceratium	Ceratium		109506	exact	urn:lsid:marinespecies.org:taxname:109506	Ceratium	accepted	109506	Ceratium	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium			
Ceratium_furca	Ceratium furca		109950	exact	urn:lsid:marinespecies.org:taxname:109950	Ceratium furca	unaccepted	840627	Tripos furca	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium		furca	
Ceratium_fusus	Ceratium fusus		109951	exact	urn:lsid:marinespecies.org:taxname:109951	Ceratium fusus	unaccepted	840626	Tripos fusus	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium		fusus	
Ceratium_lineatum	Ceratium lineatum		109963	exact	urn:lsid:marinespecies.org:taxname:109963	Ceratium lineatum	unaccepted	837459	Tripos lineatus	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium		lineatum	
Chaetoceros	Chaetoceros		148985	exact	urn:lsid:marinespecies.org:taxname:148985	Chaetoceros	accepted	148985	Chaetoceros	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros			
Chaetoceros_danicus	Chaetoceros danicus		149120	exact	urn:lsid:marinespecies.org:taxname:149120	Chaetoceros danicus	uncertain	149120	Chaetoceros danicus	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		danicus	
Chaetoceros_didymus	Chaetoceros didymus		149122	exact	urn:lsid:marinespecies.org:taxname:149122	Chaetoceros didymus	accepted	149122	Chaetoceros didymus	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		didymus	
Chaetoceros_didymus_TAG_external_flagellate	Chaetoceros didymus TAG external flagellate	Chaetoceros didymus	149122	exact	urn:lsid:marinespecies.org:taxname:149122	Chaetoceros didymus	accepted	149122	Chaetoceros didymus	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		didymus	
Chaetoceros_peruvianis	Chaetoceros peruvianis		178185	phonetic	urn:lsid:marinespecies.org:taxname:178185	Chaetoceros peruvianus	accepted	178185	Chaetoceros peruvianus	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		peruvianus	
Chaetoceros_similis	Chaetoceros similis		149127	exact	urn:lsid:marinespecies.org:taxname:149127	Chaetoceros similis	accepted	149127	Chaetoceros similis	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		similis	
Chaetoceros_socialis	Chaetoceros socialis		149123	exact	urn:lsid:marinespecies.org:taxname:149123	Chaetoceros socialis	accepted	149123	Chaetoceros socialis	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		socialis	
Chaetoceros_subtilis	Chaetoceros subtilis		156621	exact	urn:lsid:marinespecies.org:taxname:156621	Chaetoceros subtilis	accepted	156621	Chaetoceros subtilis	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		subtilis	
Chaetoceros_tenuissimus	Chaetoceros tenuissimus		156623	exact	urn:lsid:marinespecies.org:taxname:156623	Chaetoceros tenuissimus	accepted	156623	Chaetoceros tenuissimus	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		tenuissimus	
Chaetoceros_throndsenii	Chaetoceros throndsenii		163137	exact	urn:lsid:marinespecies.org:taxname:163137	Chaetoceros throndsenii	alternate representation	163143	Miraltia throndsenii	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		throndsenii	
Chroomonas	Chroomonas		106281	exact	urn:lsid:marinespecies.org:taxname:106281	Chroomonas	accepted	106281	Chroomonas	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas			
Chrysochromulina	Chrysochromulina		115090	exact	urn:lsid:marinespecies.org:taxname:115090	Chrysochromulina	accepted	115090	Chrysochromulina	Chromista	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina			
Chrysochromulina_lanceolata	Chrysochromulina lanceolata		388470	exact	urn:lsid:marinespecies.org:taxname:388470	Chrysochromulina lanceolata	accepted	388470	Chrysochromulina lanceolata	Chromista	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		lanceolata	
Corethron_hystrix	Corethron hystrix		179596	exact	urn:lsid:marinespecies.org:taxname:179596	Corethron hystrix	uncertain	179596	Corethron hystrix	Chromista	Ochrophyta	Bacillariophyceae	Corethrales	Corethraceae	Corethron		hystrix	
Corymbellus	Corymbellus		162518	exact	urn:lsid:marinespecies.org:taxname:162518	Corymbellus	accepted	162518	Corymbellus	Chromista	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiaceae	Corymbellus			
Coscinodiscus	Coscinodiscus		148917	exact	urn:lsid:marinespecies.org:taxname:148917	Coscinodiscus	accepted	148917	Coscinodiscus	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus			
Cylindrotheca	Cylindrotheca		149003	exact	urn:lsid:marinespecies.org:taxname:149003	Cylindrotheca	accepted	149003	Cylindrotheca	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca			
Cylindrotheca_min	Cylindrotheca min	Cylindrotheca	149003	exact	urn:lsid:marinespecies.org:taxname:149003	Cylindrotheca	accepted	149003	Cylindrotheca	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca			
